,iterador,acumul,time_spent,memory_usage
0,1000,1000,0.0,211.15
1,2100,2100,0.0,211.15
2,3200,3200,0.0,211.15
3,4300,4300,0.0,211.15
4,5400,5400,0.0,211.15
5,6500,6500,0.0,211.15
6,7600,7600,0.0,211.13
7,8700,8700,0.0,211.13
8,9800,9800,1.001119613647461,211.13
9,10900,10900,0.0,211.13
10,12000,12000,0.99945068359375,211.15
11,13100,13100,1.0006427764892578,211.15
12,14200,14200,0.0,211.15
13,15300,15300,0.9992122650146484,211.15
14,16400,16400,0.0,211.15
15,17500,17500,0.9984970092773438,211.15
16,18600,18600,0.0,211.15
17,19700,19700,0.0,211.14
18,20800,20800,0.0,211.14
19,21900,21900,1.004934310913086,211.14
20,23000,23000,0.9999275207519531,211.14
21,24100,24100,0.9963512420654297,211.14
22,25200,25200,0.0,211.14
23,26300,26300,0.9999275207519531,211.14
24,27400,27400,1.001119613647461,211.14
25,28500,28500,1.0006427764892578,211.14
26,29600,29600,0.9989738464355469,211.14
27,30700,30700,1.0004043579101562,211.14
28,31800,31800,0.9984970092773438,211.14
29,32900,32900,1.0058879852294922,211.14
30,34000,34000,0.0,211.14
31,35100,35100,0.9965896606445312,211.14
32,36200,36200,0.9977817535400391,211.14
33,37300,37300,0.9999275207519531,211.14
34,38400,38400,1.0001659393310547,211.14
35,39500,39500,0.9953975677490234,211.14
36,40600,40600,2.000093460083008,211.14
37,41700,41700,0.9996891021728516,211.14
38,42800,42800,0.9927749633789062,211.14
39,43900,43900,0.9999275207519531,211.14
40,45000,45000,1.0001659393310547,211.14
41,46100,46100,1.9996166229248047,211.14
42,47200,47200,1.0006427764892578,211.14
43,48300,48300,1.0004043579101562,211.14
44,49400,49400,1.9998550415039062,211.14
45,50500,50500,2.0003318786621094,211.14
46,51600,51600,0.9999275207519531,211.14
47,52700,52700,2.0003318786621094,211.14
48,53800,53800,1.9998550415039062,211.14
49,54900,54900,0.9977817535400391,211.14
50,56000,56000,0.9989738464355469,211.14
51,57100,57100,1.0006427764892578,211.14
52,58200,58200,2.000093460083008,211.12
53,59300,59300,1.0004043579101562,211.12
54,60400,60400,0.9999275207519531,211.12
55,61500,61500,1.9998550415039062,211.12
56,62600,62600,1.9986629486083984,211.12
57,63700,63700,2.000093460083008,211.12
58,64800,64800,1.9996166229248047,211.12
59,65900,65900,1.9996166229248047,211.12
60,67000,67000,1.0001659393310547,211.12
61,68100,68100,0.9992122650146484,211.12
62,69200,69200,2.000570297241211,211.14
63,70300,70300,1.9998550415039062,211.14
64,71400,71400,1.9998550415039062,211.14
65,72500,72500,1.9998550415039062,211.14
66,73600,73600,1.9998550415039062,211.14
67,74700,74700,1.996755599975586,211.14
68,75800,75800,1.9981861114501953,211.14
69,76900,76900,2.000093460083008,211.14
70,78000,78000,1.9996166229248047,211.14
71,79100,79100,1.9998550415039062,211.14
72,80200,80200,1.9998550415039062,211.14
73,81300,81300,1.9998550415039062,211.14
74,82400,82400,1.9998550415039062,211.14
75,83500,83500,2.0012855529785156,211.14
76,84600,84600,1.9977092742919922,211.14
77,85700,85700,1.9998550415039062,211.14
78,86800,86800,1.9993782043457031,211.14
79,87900,87900,2.000093460083008,211.14
80,89000,89000,1.9998550415039062,211.14
81,90100,90100,1.9993782043457031,211.14
82,91200,91200,1.9993782043457031,211.14
83,92300,92300,1.9993782043457031,211.14
84,93400,93400,2.000093460083008,211.14
85,94500,94500,2.99835205078125,211.14
86,95600,95600,2.9990673065185547,211.14
87,96700,96700,1.9998550415039062,211.14
88,97800,97800,1.9981861114501953,211.14
89,98900,98900,2.000570297241211,211.14
